model,group,case,variant,target,replacement,sentence_sim,contextual_span_sim,isolated_phrase_sim,changed_sentence
BERT-large-EN,idiomatic_nc,black sheep,synonym,black sheep,outcast,0.964203715324402,0.7934755682945251,0.5909719467163086,After the scandal Omar was the outcast of the board.
BERT-large-EN,idiomatic_nc,black sheep,component,black sheep,sheep,0.9683402180671692,0.7509967088699341,0.6385380029678345,After the scandal Omar was the sheep of the board.
BERT-large-EN,idiomatic_nc,black sheep,word_by_word,black sheep,dark animal,0.9558863043785096,0.8025549650192261,0.7886688709259033,After the scandal Omar was the dark animal of the board.
BERT-large-EN,idiomatic_nc,black sheep,random,black sheep,museum ticket,0.8908551335334778,0.5883742570877075,0.6831106543540955,After the scandal Omar was the museum ticket of the board.
BERT-large-EN,idiomatic_nc,silver lining,synonym,silver lining,hopeful aspect,0.9584645628929138,0.6803494691848755,0.7148369550704956,The grant rejection had a hopeful aspect for the startup.
BERT-large-EN,idiomatic_nc,silver lining,component,silver lining,lining,0.9765836000442504,0.767105758190155,0.5750614404678345,The grant rejection had a lining for the startup.
BERT-large-EN,idiomatic_nc,silver lining,word_by_word,silver lining,metallic edge,0.9593147039413452,0.7024130821228027,0.6882456541061401,The grant rejection had a metallic edge for the startup.
BERT-large-EN,idiomatic_nc,silver lining,random,silver lining,desert violin,0.909760355949402,0.5113489627838135,0.7248653769493103,The grant rejection had a desert violin for the startup.
BERT-large-EN,idiomatic_nc,ivory tower,synonym,ivory tower,academic isolation,0.9698798656463624,0.7555060982704163,0.7035610675811768,The report criticized the academic isolation at the institute.
BERT-large-EN,idiomatic_nc,ivory tower,component,ivory tower,tower,0.967960238456726,0.7826036810874939,0.8354645371437073,The report criticized the tower at the institute.
BERT-large-EN,idiomatic_nc,ivory tower,word_by_word,ivory tower,pale structure,0.9674360752105712,0.7529053092002869,0.6438975930213928,The report criticized the pale structure at the institute.
BERT-large-EN,idiomatic_nc,ivory tower,random,ivory tower,market umbrella,0.9668956995010376,0.7698685526847839,0.7677261829376221,The report criticized the market umbrella at the institute.
BERT-large-EN,idiomatic_nc,glass ceiling,synonym,glass ceiling,invisible barrier,0.9548650979995728,0.7910478115081787,0.7586382627487183,The promotion exposed the invisible barrier in the company.
BERT-large-EN,idiomatic_nc,glass ceiling,component,glass ceiling,ceiling,0.9762590527534484,0.8922256231307983,0.8010031580924988,The promotion exposed the ceiling in the company.
BERT-large-EN,idiomatic_nc,glass ceiling,word_by_word,glass ceiling,transparent roof,0.9707076549530028,0.9217848777770996,0.8242682218551636,The promotion exposed the transparent roof in the company.
BERT-large-EN,idiomatic_nc,glass ceiling,random,glass ceiling,forest melody,0.9332231879234314,0.7176271080970764,0.6864890456199646,The promotion exposed the forest melody in the company.
BERT-large-EN,idiomatic_nc,cash cow,synonym,cash cow,moneymaker,0.9832147359848022,0.9028000831604004,0.6979562640190125,The old product became a moneymaker for the firm.
BERT-large-EN,idiomatic_nc,cash cow,component,cash cow,cow,0.95393967628479,0.7180779576301575,0.5627411603927612,The old product became a cow for the firm.
BERT-large-EN,idiomatic_nc,cash cow,word_by_word,cash cow,money animal,0.9854233264923096,0.917143702507019,0.8050302267074585,The old product became a money animal for the firm.
BERT-large-EN,idiomatic_nc,cash cow,random,cash cow,airport blanket,0.9401680827140808,0.6483232975006104,0.6055694222450256,The old product became a airport blanket for the firm.
BERT-large-EN,idiomatic_nc,loose cannon,synonym,loose cannon,unpredictable person,0.9662838578224182,0.8262540102005005,0.7147617936134338,The spokesman was a unpredictable person during the debate.
BERT-large-EN,idiomatic_nc,loose cannon,component,loose cannon,cannon,0.9584108591079712,0.7642670273780823,0.7222194075584412,The spokesman was a cannon during the debate.
BERT-large-EN,idiomatic_nc,loose cannon,word_by_word,loose cannon,unstable weapon,0.9569689035415648,0.8651536107063293,0.7374705672264099,The spokesman was a unstable weapon during the debate.
BERT-large-EN,idiomatic_nc,loose cannon,random,loose cannon,velvet engine,0.93003910779953,0.6958050727844238,0.7413725256919861,The spokesman was a velvet engine during the debate.
BERT-large-EN,idiomatic_nc,golden handshake,synonym,golden handshake,severance payment,0.9170485138893129,0.6926454901695251,0.6818305253982544,The manager received a severance payment after the merger.
BERT-large-EN,idiomatic_nc,golden handshake,component,golden handshake,handshake,0.980421781539917,0.947110950946808,0.932315230369568,The manager received a handshake after the merger.
BERT-large-EN,idiomatic_nc,golden handshake,word_by_word,golden handshake,valuable greeting,0.9454679489135742,0.8227546811103821,0.7214354276657104,The manager received a valuable greeting after the merger.
BERT-large-EN,idiomatic_nc,golden handshake,random,golden handshake,mountain pillow,0.9250648021697998,0.729747474193573,0.6782271862030029,The manager received a mountain pillow after the merger.
BERT-large-EN,idiomatic_nc,paper tiger,synonym,paper tiger,weak threat,0.9448901414871216,0.7074018716812134,0.564272940158844,The threat was a weak threat in the negotiations.
BERT-large-EN,idiomatic_nc,paper tiger,component,paper tiger,tiger,0.969341516494751,0.8218750953674316,0.6752465963363647,The threat was a tiger in the negotiations.
BERT-large-EN,idiomatic_nc,paper tiger,word_by_word,paper tiger,document animal,0.9498358964920044,0.8086920380592346,0.717266321182251,The threat was a document animal in the negotiations.
BERT-large-EN,idiomatic_nc,paper tiger,random,paper tiger,river button,0.9723621010780334,0.8118017911911011,0.708915650844574,The threat was a river button in the negotiations.
BERT-large-EN,idiomatic_nc,smoking gun,synonym,smoking gun,decisive evidence,0.9217901825904846,0.693135678768158,0.6476229429244995,The email became the decisive evidence in the investigation.
BERT-large-EN,idiomatic_nc,smoking gun,component,smoking gun,gun,0.9744570851325988,0.8494541049003601,0.7078924179077148,The email became the gun in the investigation.
BERT-large-EN,idiomatic_nc,smoking gun,word_by_word,smoking gun,burning weapon,0.985605001449585,0.902481734752655,0.8680703043937683,The email became the burning weapon in the investigation.
BERT-large-EN,idiomatic_nc,smoking gun,random,smoking gun,kitchen horizon,0.9522387981414796,0.7500230669975281,0.688036322593689,The email became the kitchen horizon in the investigation.
BERT-large-EN,compositional_nc,economic aid,synonym,economic aid,financial assistance,0.9928369522094728,0.9451380372047424,0.8549742698669434,The committee approved financial assistance for the region after the storm.
BERT-large-EN,compositional_nc,economic aid,component,economic aid,aid,0.9879218935966492,0.8895115852355957,0.5634267330169678,The committee approved aid for the region after the storm.
BERT-large-EN,compositional_nc,economic aid,word_by_word,economic aid,budgetary assistance,0.9883314967155457,0.8999400734901428,0.8420116305351257,The committee approved budgetary assistance for the region after the storm.
BERT-large-EN,compositional_nc,economic aid,random,economic aid,kitchen table,0.9416424632072448,0.7362020611763,0.6416845917701721,The committee approved kitchen table for the region after the storm.
BERT-large-EN,compositional_nc,research lab,synonym,research lab,research facility,0.9838115572929382,0.9378713369369508,0.93729966878891,The students joined a research facility during the summer program.
BERT-large-EN,compositional_nc,research lab,component,research lab,lab,0.9852969646453856,0.9399954080581664,0.8495054244995117,The students joined a lab during the summer program.
BERT-large-EN,compositional_nc,research lab,word_by_word,research lab,investigation workplace,0.950470805168152,0.7683920860290527,0.7446772456169128,The students joined a investigation workplace during the summer program.
BERT-large-EN,compositional_nc,research lab,random,research lab,garden party,0.9371898770332336,0.7093195915222168,0.7270941734313965,The students joined a garden party during the summer program.
BERT-large-EN,compositional_nc,climate policy,synonym,climate policy,environmental policy,0.9721248745918274,0.9237439036369324,0.9361259937286376,The council debated environmental policy during the evening session.
BERT-large-EN,compositional_nc,climate policy,component,climate policy,policy,0.9511750340461732,0.7972026467323303,0.753643810749054,The council debated policy during the evening session.
BERT-large-EN,compositional_nc,climate policy,word_by_word,climate policy,weather guideline,0.969309628009796,0.8403157591819763,0.7765565514564514,The council debated weather guideline during the evening session.
BERT-large-EN,compositional_nc,climate policy,random,climate policy,garden spoon,0.949690043926239,0.7484310269355774,0.6879038214683533,The council debated garden spoon during the evening session.
BERT-large-EN,compositional_nc,medical school,synonym,medical school,medical college,0.9738617539405824,0.950495183467865,0.8762705326080322,Her brother entered medical college after years of preparation.
BERT-large-EN,compositional_nc,medical school,component,medical school,school,0.968826949596405,0.8144648671150208,0.7158600091934204,Her brother entered school after years of preparation.
BERT-large-EN,compositional_nc,medical school,word_by_word,medical school,clinical academy,0.9737995862960817,0.9143332839012146,0.878349244594574,Her brother entered clinical academy after years of preparation.
BERT-large-EN,compositional_nc,medical school,random,medical school,ocean mirror,0.9291990995407104,0.7140038013458252,0.7194468379020691,Her brother entered ocean mirror after years of preparation.
BERT-large-EN,compositional_nc,mountain village,synonym,mountain village,alpine settlement,0.9832037091255188,0.9229024648666382,0.6914487481117249,The travelers reached a alpine settlement before sunset.
BERT-large-EN,compositional_nc,mountain village,component,mountain village,village,0.9886313676834106,0.9048099517822266,0.720133364200592,The travelers reached a village before sunset.
BERT-large-EN,compositional_nc,mountain village,word_by_word,mountain village,hill hamlet,0.9802258610725404,0.910860538482666,0.8397101759910583,The travelers reached a hill hamlet before sunset.
BERT-large-EN,compositional_nc,mountain village,random,mountain village,plastic thunder,0.9357783794403076,0.7508534789085388,0.7675148248672485,The travelers reached a plastic thunder before sunset.
BERT-large-EN,compositional_nc,solar panel,synonym,solar panel,photovoltaic module,0.9713236689567566,0.9256801009178162,0.8815726041793823,The engineer installed a photovoltaic module on the roof.
BERT-large-EN,compositional_nc,solar panel,component,solar panel,panel,0.955661118030548,0.8315698504447937,0.6378877758979797,The engineer installed a panel on the roof.
BERT-large-EN,compositional_nc,solar panel,word_by_word,solar panel,sun powered plate,0.9579067826271056,0.8507457375526428,0.8198544979095459,The engineer installed a sun powered plate on the roof.
BERT-large-EN,compositional_nc,solar panel,random,solar panel,velvet sandwich,0.931080162525177,0.7321520447731018,0.6525856852531433,The engineer installed a velvet sandwich on the roof.
BERT-large-EN,compositional_nc,election result,synonym,election result,vote outcome,0.9802070260047911,0.9348379969596864,0.8612160682678223,The newspaper published the vote outcome at midnight.
BERT-large-EN,compositional_nc,election result,component,election result,result,0.978000283241272,0.8609611988067627,0.836690366268158,The newspaper published the result at midnight.
BERT-large-EN,compositional_nc,election result,word_by_word,election result,ballot outcome,0.9784395098686218,0.928852081298828,0.8350711464881897,The newspaper published the ballot outcome at midnight.
BERT-large-EN,compositional_nc,election result,random,election result,kitchen river,0.9116454720497132,0.6366003751754761,0.5709556937217712,The newspaper published the kitchen river at midnight.
BERT-large-EN,compositional_nc,airport security,synonym,airport security,aviation security,0.9878328442573548,0.9631049633026124,0.8716761469841003,The staff improved aviation security before the summit.
BERT-large-EN,compositional_nc,airport security,component,airport security,security,0.9817845225334167,0.8892011046409607,0.7423136830329895,The staff improved security before the summit.
BERT-large-EN,compositional_nc,airport security,word_by_word,airport security,terminal safety,0.957720160484314,0.908756673336029,0.7728476524353027,The staff improved terminal safety before the summit.
BERT-large-EN,compositional_nc,airport security,random,airport security,forest melody,0.9066547155380248,0.7166857719421387,0.5951104164123535,The staff improved forest melody before the summit.
BERT-large-EN,compositional_nc,language teacher,synonym,language teacher,language instructor,0.995258331298828,0.9851489067077636,0.96200692653656,The language instructor corrected the essays carefully.
BERT-large-EN,compositional_nc,language teacher,component,language teacher,teacher,0.9897844791412354,0.8895812630653381,0.8081229329109192,The teacher corrected the essays carefully.
BERT-large-EN,compositional_nc,language teacher,word_by_word,language teacher,linguistic educator,0.9745370149612428,0.9114824533462524,0.8089393377304077,The linguistic educator corrected the essays carefully.
BERT-large-EN,compositional_nc,language teacher,random,language teacher,silver engine,0.911102533340454,0.7116214036941528,0.6427534222602844,The silver engine corrected the essays carefully.
BERT-large-EN,compositional_nc,water bottle,synonym,water bottle,drinking container,0.9761569499969482,0.8619300723075867,0.8315742611885071,She packed a drinking container for the hike.
BERT-large-EN,compositional_nc,water bottle,component,water bottle,bottle,0.9792670607566832,0.8311549425125122,0.6631752252578735,She packed a bottle for the hike.
BERT-large-EN,compositional_nc,water bottle,word_by_word,water bottle,liquid vessel,0.9539519548416138,0.7990583181381226,0.7807028293609619,She packed a liquid vessel for the hike.
BERT-large-EN,compositional_nc,water bottle,random,water bottle,museum thunder,0.9321587085723876,0.6420778632164001,0.6973970532417297,She packed a museum thunder for the hike.
BERT-large-EN,compositional_nc,history book,synonym,history book,historical volume,0.9752655625343324,0.9268917441368104,0.8576282858848572,The student borrowed a historical volume from the library.
BERT-large-EN,compositional_nc,history book,component,history book,book,0.9795026779174804,0.8978012800216675,0.7691605687141418,The student borrowed a book from the library.
BERT-large-EN,compositional_nc,history book,word_by_word,history book,past chronicle,0.972146213054657,0.8363684415817261,0.7622022032737732,The student borrowed a past chronicle from the library.
BERT-large-EN,compositional_nc,history book,random,history book,desert umbrella,0.9594296813011168,0.7090240716934204,0.7188435792922974,The student borrowed a desert umbrella from the library.
BERT-large-EN,compositional_nc,river bridge,synonym,river bridge,waterway crossing,0.9814532995224,0.9141780138015748,0.8886076807975769,The workers repaired the waterway crossing after the flood.
BERT-large-EN,compositional_nc,river bridge,component,river bridge,bridge,0.9846781492233276,0.9278837442398072,0.7688764333724976,The workers repaired the bridge after the flood.
BERT-large-EN,compositional_nc,river bridge,word_by_word,river bridge,stream viaduct,0.9811675548553468,0.9141504764556884,0.8913387060165405,The workers repaired the stream viaduct after the flood.
BERT-large-EN,compositional_nc,river bridge,random,river bridge,lemon window,0.9571518898010254,0.776110827922821,0.7864992618560791,The workers repaired the lemon window after the flood.
BERT-large-EN,compositional_nc,hospital room,synonym,hospital room,medical chamber,0.98516845703125,0.922471523284912,0.84553462266922,The nurse cleaned the medical chamber before noon.
BERT-large-EN,compositional_nc,hospital room,component,hospital room,room,0.9880789518356324,0.928205668926239,0.6924117207527161,The nurse cleaned the room before noon.
BERT-large-EN,compositional_nc,hospital room,word_by_word,hospital room,clinic space,0.9755927920341492,0.8473835587501526,0.8064668774604797,The nurse cleaned the clinic space before noon.
BERT-large-EN,compositional_nc,hospital room,random,hospital room,cloud hammer,0.9600736498832704,0.6997436285018921,0.6816251873970032,The nurse cleaned the cloud hammer before noon.
BERT-large-EN,compositional_nc,village market,synonym,village market,rural marketplace,0.9852214455604552,0.9417828917503356,0.8078879117965698,The farmer visited the rural marketplace every Friday.
BERT-large-EN,compositional_nc,village market,component,village market,market,0.9897762537002563,0.9095871448516846,0.7466383576393127,The farmer visited the market every Friday.
BERT-large-EN,compositional_nc,village market,word_by_word,village market,hamlet bazaar,0.9920416474342346,0.9452214241027832,0.7555484771728516,The farmer visited the hamlet bazaar every Friday.
BERT-large-EN,compositional_nc,village market,random,village market,iron ocean,0.9518964886665344,0.7322340607643127,0.6414473056793213,The farmer visited the iron ocean every Friday.
BERT-large-EN,compositional_nc,data center,synonym,data center,computing facility,0.9866355657577516,0.9111537933349608,0.8927742838859558,The company expanded the computing facility near the campus.
BERT-large-EN,compositional_nc,data center,component,data center,center,0.9800193309783936,0.7959261536598206,0.777275562286377,The company expanded the center near the campus.
BERT-large-EN,compositional_nc,data center,word_by_word,data center,information hub,0.9901373982429504,0.9150356650352478,0.887890100479126,The company expanded the information hub near the campus.
BERT-large-EN,compositional_nc,data center,random,data center,velvet forest,0.9547815322875975,0.6953564882278442,0.7335956692695618,The company expanded the velvet forest near the campus.
BERT-large-EN,compositional_nc,music festival,synonym,music festival,concert event,0.9865606427192688,0.9361931681632996,0.8471770882606506,The town hosted a concert event in July.
BERT-large-EN,compositional_nc,music festival,component,music festival,festival,0.9851810336112976,0.9094502925872804,0.8820403814315796,The town hosted a festival in July.
BERT-large-EN,compositional_nc,music festival,word_by_word,music festival,melody celebration,0.967133104801178,0.8767982721328735,0.8172731399536133,The town hosted a melody celebration in July.
BERT-large-EN,compositional_nc,music festival,random,music festival,paper mountain,0.9382521510124208,0.7666844129562378,0.7171798944473267,The town hosted a paper mountain in July.
BERT-large-EN,single_word_control,doctor,synonym,doctor,physician,0.9955236315727234,0.9563882350921632,0.8974977135658264,The physician opened the door quickly.
BERT-large-EN,single_word_control,doctor,related,doctor,nurse,0.979131281375885,0.8646883368492126,0.8575405478477478,The nurse opened the door quickly.
BERT-large-EN,single_word_control,doctor,random,doctor,carpet,0.95626962184906,0.6241328716278076,0.7371885776519775,The carpet opened the door quickly.
BERT-large-EN,single_word_control,apple,synonym,apple,fruit,0.989111602306366,0.8865174651145935,0.7700281739234924,She bought a fresh fruit from the market.
BERT-large-EN,single_word_control,apple,related,apple,pear,0.9928148984909058,0.8883654475212097,0.8185403943061829,She bought a fresh pear from the market.
BERT-large-EN,single_word_control,apple,random,apple,engine,0.9469093084335328,0.6466279625892639,0.7675926089286804,She bought a fresh engine from the market.
BERT-large-EN,single_word_control,teacher,synonym,teacher,instructor,0.9863616824150084,0.8923826813697815,0.8391311168670654,The instructor explained the problem clearly.
BERT-large-EN,single_word_control,teacher,related,teacher,professor,0.9521640539169312,0.7567015290260315,0.7423110008239746,The professor explained the problem clearly.
BERT-large-EN,single_word_control,teacher,random,teacher,mountain,0.9254504442214966,0.6110070943832397,0.6206879019737244,The mountain explained the problem clearly.
BERT-large-EN,single_word_control,lawyer,synonym,lawyer,attorney,0.9981632828712464,0.9739303588867188,0.8804236650466919,The attorney reviewed the contract before lunch.
BERT-large-EN,single_word_control,lawyer,related,lawyer,judge,0.984717607498169,0.8588944673538208,0.727037250995636,The judge reviewed the contract before lunch.
BERT-large-EN,single_word_control,lawyer,random,lawyer,umbrella,0.9717943072319032,0.6131446361541748,0.6815586090087891,The umbrella reviewed the contract before lunch.
BERT-large-EN,single_word_control,river,synonym,river,stream,0.9896150827407836,0.8449239730834961,0.839606523513794,The stream flooded the lower fields overnight.
BERT-large-EN,single_word_control,river,related,river,canal,0.9843791723251344,0.7984069585800171,0.8731558918952942,The canal flooded the lower fields overnight.
BERT-large-EN,single_word_control,river,random,river,microscope,0.9204761385917664,0.601699948310852,0.6388006210327148,The microscope flooded the lower fields overnight.
BERT-large-EN,single_word_control,city,synonym,city,metropolis,0.9610812664031982,0.7508375644683838,0.7936182022094727,The metropolis approved the new housing plan.
BERT-large-EN,single_word_control,city,related,city,town,0.9882428646087646,0.7421092987060547,0.8471338152885437,The town approved the new housing plan.
BERT-large-EN,single_word_control,city,random,city,sandwich,0.978706419467926,0.6934777498245239,0.739243745803833,The sandwich approved the new housing plan.
BERT-large-EN,single_word_control,storm,synonym,storm,tempest,0.9870667457580566,0.9219376444816588,0.8529075384140015,The tempest damaged several houses near the coast.
BERT-large-EN,single_word_control,storm,related,storm,rainstorm,0.9813187122344972,0.8738889694213867,0.7243466377258301,The rainstorm damaged several houses near the coast.
BERT-large-EN,single_word_control,storm,random,storm,violin,0.9505539536476136,0.5312157273292542,0.6853454113006592,The violin damaged several houses near the coast.
BERT-large-EN,single_word_control,idea,synonym,idea,concept,0.9906467199325562,0.9456018805503844,0.9310318827629088,The concept changed the direction of the project.
BERT-large-EN,single_word_control,idea,related,idea,thought,0.9858847856521606,0.893316388130188,0.8390235304832458,The thought changed the direction of the project.
BERT-large-EN,single_word_control,idea,random,idea,hammer,0.9596189260482788,0.6844602227210999,0.7273122668266296,The hammer changed the direction of the project.
BERT-large-EN,single_word_control,problem,synonym,problem,issue,0.9841039776802064,0.8852810859680176,0.7904719114303589,The issue delayed the final report.
BERT-large-EN,single_word_control,problem,related,problem,question,0.9745239615440368,0.7887814044952393,0.8311623334884644,The question delayed the final report.
BERT-large-EN,single_word_control,problem,random,problem,pillow,0.9616252779960632,0.7172983288764954,0.7817535400390625,The pillow delayed the final report.
BERT-large-EN,single_word_control,music,synonym,music,melody,0.9859145879745485,0.8876553177833557,0.7918151021003723,The melody filled the old theater.
BERT-large-EN,single_word_control,music,related,music,song,0.9859934449195862,0.8728044629096985,0.7460358142852783,The song filled the old theater.
BERT-large-EN,single_word_control,music,random,music,staircase,0.9543542265892028,0.6688150763511658,0.6713306307792664,The staircase filled the old theater.
BERT-large-EN,single_word_control,letter,synonym,letter,note,0.98704195022583,0.9039900898933412,0.7547897100448608,The note arrived before the meeting.
BERT-large-EN,single_word_control,letter,related,letter,message,0.9897506833076476,0.8924106955528259,0.8065502643585205,The message arrived before the meeting.
BERT-large-EN,single_word_control,letter,random,letter,volcano,0.9531552195549012,0.6285936832427979,0.7366477251052856,The volcano arrived before the meeting.
BERT-large-EN,single_word_control,machine,synonym,machine,device,0.9789674282073976,0.8990662693977356,0.8398450613021851,The device stopped during the demonstration.
BERT-large-EN,single_word_control,machine,related,machine,apparatus,0.9633697271347046,0.8106455206871033,0.7784640192985535,The apparatus stopped during the demonstration.
BERT-large-EN,single_word_control,machine,random,machine,forest,0.952467441558838,0.6725801229476929,0.6911551356315613,The forest stopped during the demonstration.
BERT-large-EN,single_word_control,road,synonym,road,street,0.980614960193634,0.8390604853630066,0.8370112776756287,The street crossed the valley below the town.
BERT-large-EN,single_word_control,road,related,road,highway,0.9840713739395142,0.8808042407035828,0.8270267248153687,The highway crossed the valley below the town.
BERT-large-EN,single_word_control,road,random,road,singer,0.9485194683074952,0.6319342851638794,0.664454996585846,The singer crossed the valley below the town.
BERT-large-EN,single_word_control,flower,synonym,flower,blossom,0.9925432801246644,0.9050678014755248,0.8939307928085327,The blossom bloomed beside the window.
BERT-large-EN,single_word_control,flower,related,flower,rose,0.9918404221534728,0.8926596641540527,0.9087067246437072,The rose bloomed beside the window.
BERT-large-EN,single_word_control,flower,random,flower,engine,0.8926957845687866,0.6061386466026306,0.8173867464065552,The engine bloomed beside the window.
BERT-large-EN,single_word_control,ocean,synonym,ocean,sea,0.9958698749542236,0.9633411169052124,0.8011791706085205,The sea reflected the morning light.
BERT-large-EN,single_word_control,ocean,related,ocean,lake,0.9865620136260986,0.821823239326477,0.8208258152008057,The lake reflected the morning light.
BERT-large-EN,single_word_control,ocean,random,ocean,notebook,0.9532891511917114,0.5764930248260498,0.7534525990486145,The notebook reflected the morning light.
BERT-large-EN,single_word_control,child,synonym,child,youngster,0.9747251272201538,0.8529958724975586,0.7166314125061035,The youngster solved the puzzle quickly.
BERT-large-EN,single_word_control,child,related,child,teenager,0.9830840826034546,0.8672845363616943,0.8595319390296936,The teenager solved the puzzle quickly.
BERT-large-EN,single_word_control,child,random,child,candle,0.9608542919158936,0.6603880524635315,0.803194522857666,The candle solved the puzzle quickly.
BERT-large-EN,ordinary_two_word_control,red car,synonym,red car,crimson vehicle,0.983476221561432,0.8857792019844055,0.7818030714988708,The crimson vehicle stopped near the school gate.
BERT-large-EN,ordinary_two_word_control,red car,component,red car,car,0.9871706962585448,0.9025301337242126,0.7231742143630981,The car stopped near the school gate.
BERT-large-EN,ordinary_two_word_control,red car,word_by_word,red car,scarlet automobile,0.9801401495933532,0.8700099587440491,0.7030644416809082,The scarlet automobile stopped near the school gate.
BERT-large-EN,ordinary_two_word_control,red car,random,red car,coffee spoon,0.9556130766868592,0.6509921550750732,0.6714286208152771,The coffee spoon stopped near the school gate.
BERT-large-EN,ordinary_two_word_control,coffee cup,synonym,coffee cup,mug,0.9868385791778564,0.8712736368179321,0.6254063844680786,She placed the mug on the wooden table.
BERT-large-EN,ordinary_two_word_control,coffee cup,component,coffee cup,cup,0.982059895992279,0.881743311882019,0.6363994479179382,She placed the cup on the wooden table.
