group,name,original,target,synonym,component,word_by_word,related,random
single_word_control,doctor,The doctor opened the door quickly.,doctor,physician,,,nurse,carpet
single_word_control,apple,She bought a fresh apple from the market.,apple,fruit,,,pear,engine
single_word_control,teacher,The teacher explained the problem clearly.,teacher,instructor,,,professor,mountain
single_word_control,lawyer,The lawyer reviewed the contract before lunch.,lawyer,attorney,,,judge,umbrella
single_word_control,river,The river flooded the lower fields overnight.,river,stream,,,canal,microscope
single_word_control,city,The city approved the new housing plan.,city,metropolis,,,town,sandwich
single_word_control,storm,The storm damaged several houses near the coast.,storm,tempest,,,rainstorm,violin
single_word_control,idea,The idea changed the direction of the project.,idea,concept,,,thought,hammer
single_word_control,problem,The problem delayed the final report.,problem,issue,,,question,pillow
single_word_control,music,The music filled the old theater.,music,melody,,,song,staircase
single_word_control,letter,The letter arrived before the meeting.,letter,note,,,message,volcano
single_word_control,machine,The machine stopped during the demonstration.,machine,device,,,apparatus,forest
single_word_control,road,The road crossed the valley below the town.,road,street,,,highway,singer
single_word_control,flower,The flower bloomed beside the window.,flower,blossom,,,rose,engine
single_word_control,ocean,The ocean reflected the morning light.,ocean,sea,,,lake,notebook
single_word_control,child,The child solved the puzzle quickly.,child,youngster,,,teenager,candle
ordinary_two_word_control,red car,The red car stopped near the school gate.,red car,crimson vehicle,car,scarlet automobile,,coffee spoon
ordinary_two_word_control,coffee cup,She placed the coffee cup on the wooden table.,coffee cup,mug,cup,java container,,traffic signal
ordinary_two_word_control,wooden chair,The wooden chair stood beside the fireplace.,wooden chair,timber seat,chair,wood seat,,silver cloud
ordinary_two_word_control,summer rain,The summer rain cooled the dusty street.,summer rain,seasonal rainfall,rain,warm shower,,library key
ordinary_two_word_control,city park,The city park opened after the renovation.,city park,urban garden,park,municipal green,,ocean pencil
ordinary_two_word_control,glass bottle,The glass bottle rolled under the bench.,glass bottle,transparent container,bottle,crystal vessel,,mountain ticket
ordinary_two_word_control,school bus,The school bus waited outside the museum.,school bus,student transport,bus,education coach,,kitchen moon
ordinary_two_word_control,paper bag,The paper bag tore near the counter.,paper bag,paper sack,bag,cellulose pouch,,thunder candle
ordinary_two_word_control,kitchen knife,The kitchen knife rested beside the plate.,kitchen knife,cooking blade,knife,culinary blade,,desert violin
ordinary_two_word_control,garden flower,The garden flower attracted several bees.,garden flower,yard blossom,flower,outdoor bloom,,airport spoon
ordinary_two_word_control,ocean wave,The ocean wave reached the empty pier.,ocean wave,sea swell,wave,marine ripple,,factory pillow
ordinary_two_word_control,train station,The train station closed after midnight.,train station,railway terminal,station,rail depot,,lemon window
ordinary_two_word_control,computer screen,The computer screen flickered during the call.,computer screen,monitor,screen,digital display,,forest blanket
ordinary_two_word_control,stone bridge,The stone bridge crossed the narrow river.,stone bridge,masonry crossing,bridge,rock viaduct,,velvet engine
ordinary_two_word_control,plastic box,The plastic box held the spare cables.,plastic box,synthetic container,box,polymer case,,museum thunder
ordinary_two_word_control,winter coat,The winter coat hung behind the office door.,winter coat,cold weather jacket,coat,seasonal garment,,river button
