id,language,canonical_form,modifier,head,gold_class,gold_score,score_status,slot,family,original_sentence,target_surface,span,p_syn,p_comp,p_words_syn,p_rand,source_file,source_url
EN-REF-004,EN,ancient history,ancient,history,PC,1.95,human_type_score,N1,neutral,This is an ancient history,ancient history,"[3, 5]",history,history || ancient,past antiquity || past past || past yesteryear || old past || old yesteryear,best identification || common administration || historic period || social expectation || average visitor,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-004,EN,ancient history,ancient,history,PC,1.95,human_type_score,N2,neutral,These are ancient histories,ancient histories,"[2, 4]",old news,histories,past antiquities,best identification || common administration || historic period || social expectation || average visitor,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-005,EN,application form,application,form,C,4.8,human_type_score,S1,naturalistic,in a christian preaching ministry in any denomination for at least two years . the application form for the mth course is available on the spurgeon ' s or as a download (,application form,"[15, 17]",form,form || application,claim pattern || use signifier || use descriptor || covering signifier || covering descriptor,rain man || archival history || documentary support || specific material || late essay,naturalistics_examplesent1.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-005,EN,application form,application,form,C,4.8,human_type_score,S2,naturalistic,to apply click on the apply now ' link and fill in our online application form . we look forward to hearing from you . using ict in foundation stage teaching,application form,"[14, 16]",form,form || application,claim pattern || use signifier || use descriptor || covering signifier || covering descriptor,rain man || archival history || documentary support || specific material || late essay,naturalistics_examplesent2.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-005,EN,application form,application,form,C,4.8,human_type_score,S3,naturalistic,"capture / forms processing software . forms processing can enable documents such as surveys , application forms , invoices and questionnaires to be scanned and automatically processed to a database . the",application forms,"[15, 17]",forms,forms || application,claim patterns || use signifiers || use descriptors || covering signifiers || covering descriptors,rain man || archival history || documentary support || specific material || late essay,naturalistics_examplesent3.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-005,EN,application form,application,form,C,4.8,human_type_score,N1,neutral,This is an application form,application form,"[3, 5]",form,form || application,claim pattern || use signifier || use descriptor || covering signifier || covering descriptor,rain man || archival history || documentary support || specific material || late essay,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-005,EN,application form,application,form,C,4.8,human_type_score,N2,neutral,These are application forms,application forms,"[2, 4]",requests,forms,claim patterns,rain man || archival history || documentary support || specific material || late essay,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-006,EN,arcade game,arcade,game,C,3.8,human_type_score,S1,naturalistic,the monkey in the game is king kong and it is another version of the classic arcade game donkey kong .,arcade game,"[16, 18]",video game,game || arcade,gallery play || loggia activity || loggia contest || structure activity || structure contest,holder family || important time || large kingdom || large turtle || large obstacle,naturalistics_examplesent1.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-006,EN,arcade game,arcade,game,C,3.8,human_type_score,S2,naturalistic,in an ordinary arcade game the effect is created through a need to destroy aliens and make a high score .,arcade game,"[3, 5]",video game,game || arcade,gallery play || loggia activity || loggia contest || structure activity || structure contest,holder family || important time || large kingdom || large turtle || large obstacle,naturalistics_examplesent2.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-006,EN,arcade game,arcade,game,C,3.8,human_type_score,S3,naturalistic,pac - man - play the most popular arcade game of all time !,arcade game,"[8, 10]",video game,game || arcade,gallery play || loggia activity || loggia contest || structure activity || structure contest,holder family || important time || large kingdom || large turtle || large obstacle,naturalistics_examplesent3.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-006,EN,arcade game,arcade,game,C,3.8,human_type_score,N1,neutral,This is an arcade game,arcade game,"[3, 5]",video game,game || arcade,gallery play || loggia activity || loggia contest || structure activity || structure contest,holder family || important time || large kingdom || large turtle || large obstacle,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-006,EN,arcade game,arcade,game,C,3.8,human_type_score,N2,neutral,These are arcade games,arcade games,"[2, 4]",electronic games,games,gallery plays,holder family || important time || large kingdom || large turtle || large obstacle,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-007,EN,armchair critic,armchair,critic,I,1.33,human_type_score,S1,naturalistic,she felt she could not just be an armchair critic - it was her moral responsibility to do something .,armchair critic,"[8, 10]",bystander,critic || armchair,recliner judge || fauteuil appraiser || fauteuil authenticator || recliner appraiser || recliner authenticator,righteye flounder || fourth captain || fraudulent website || frank dialogue || frame chapel,naturalistics_examplesent1.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-007,EN,armchair critic,armchair,critic,I,1.33,human_type_score,S2,naturalistic,he will be quoted as an example of ' all that is wrong with the game ' by every armchair critic in wales .,armchair critic,"[19, 21]",bystander,critic || armchair,recliner judge || fauteuil appraiser || fauteuil authenticator || recliner appraiser || recliner authenticator,righteye flounder || fourth captain || fraudulent website || frank dialogue || frame chapel,naturalistics_examplesent2.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-007,EN,armchair critic,armchair,critic,I,1.33,human_type_score,S3,naturalistic,i caught the train to get back home to be an armchair critic of england ' s football team performance against jamaica .,armchair critic,"[11, 13]",bystander,critic || armchair,recliner judge || fauteuil appraiser || fauteuil authenticator || recliner appraiser || recliner authenticator,righteye flounder || fourth captain || fraudulent website || frank dialogue || frame chapel,naturalistics_examplesent3.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-007,EN,armchair critic,armchair,critic,I,1.33,human_type_score,N1,neutral,This is an armchair critic,armchair critic,"[3, 5]",bystander,critic || armchair,recliner judge || fauteuil appraiser || fauteuil authenticator || recliner appraiser || recliner authenticator,righteye flounder || fourth captain || fraudulent website || frank dialogue || frame chapel,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-007,EN,armchair critic,armchair,critic,I,1.33,human_type_score,N2,neutral,These are armchair critics,armchair critics,"[2, 4]",backseat drivers,critics,recliner judges,righteye flounder || fourth captain || fraudulent website || frank dialogue || frame chapel,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-008,EN,baby blues,baby,blues,PC,2.88,human_type_score,S1,naturalistic,"while as many as 80 % of mothers experience a temporary and mild condition referred to as the baby blues , up to 15 % of women have the more severe reaction you ' re experiencing .",baby blues,"[18, 20]",depression,blues || baby,child dejections || kid megrim || kid vapors || infant megrim || infant vapors,extreme valor || metabolic adaptation || accounting package || intellectual scope || away strip,naturalistics_examplesent1.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-008,EN,baby blues,baby,blues,PC,2.88,human_type_score,S2,naturalistic,this condition is different form the few days of weepiness called the baby blues .,baby blues,"[12, 14]",depression,blues || baby,child dejections || kid megrim || kid vapors || infant megrim || infant vapors,extreme valor || metabolic adaptation || accounting package || intellectual scope || away strip,naturalistics_examplesent2.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-008,EN,baby blues,baby,blues,PC,2.88,human_type_score,S3,naturalistic,"baby blues is based on a true story , exposing the problems created by puerperal psychosis ; deep clinical depression that sometimes follows childbirth .",baby blues,"[0, 2]",depression,blues || baby,child dejections || kid megrim || kid vapors || infant megrim || infant vapors,extreme valor || metabolic adaptation || accounting package || intellectual scope || away strip,naturalistics_examplesent3.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-008,EN,baby blues,baby,blues,PC,2.88,human_type_score,N1,neutral,This is a baby blues,baby blues,"[3, 5]",depression,blues || baby,child dejection || kid megrim || kid vapor || infant megrim || infant vapor,extreme valor || metabolic adaptation || accounting package || intellectual scope || away strip,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-008,EN,baby blues,baby,blues,PC,2.88,human_type_score,N2,neutral,These are baby blues,baby blues,"[2, 4]",postpartum depressions,blues,child dejections,extreme valor || metabolic adaptation || accounting package || intellectual scope || away strip,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-009,EN,baby buggy,baby,buggy,C,3.94,human_type_score,S1,naturalistic,can i take my baby buggy on to the london eye ?,baby buggy,"[4, 6]",pram,buggy || baby,child cart || kid carriage || kid equipage || infant carriage || infant equipage,nocent eye || beta phase || thin cord || reconciliation initiative || roman bath,naturalistics_examplesent1.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-009,EN,baby buggy,baby,buggy,C,3.94,human_type_score,S2,naturalistic,we also have a maclarens baby buggy and potties and high chair if needed .,baby buggy,"[5, 7]",pram,buggy || baby,child cart || kid carriage || kid equipage || infant carriage || infant equipage,nocent eye || beta phase || thin cord || reconciliation initiative || roman bath,naturalistics_examplesent2.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-009,EN,baby buggy,baby,buggy,C,3.94,human_type_score,S3,naturalistic,a british company has launched the world ' s first baby buggy with a pollution proof passenger capsule .,baby buggy,"[10, 12]",pram,buggy || baby,child cart || kid carriage || kid equipage || infant carriage || infant equipage,nocent eye || beta phase || thin cord || reconciliation initiative || roman bath,naturalistics_examplesent3.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-009,EN,baby buggy,baby,buggy,C,3.94,human_type_score,N1,neutral,This is a baby buggy,baby buggy,"[3, 5]",pram,buggy || baby,child cart || kid carriage || kid equipage || infant carriage || infant equipage,nocent eye || beta phase || thin cord || reconciliation initiative || roman bath,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-009,EN,baby buggy,baby,buggy,C,3.94,human_type_score,N2,neutral,These are baby buggies,baby buggies,"[2, 4]",strollers,buggies,child carts,nocent eye || beta phase || thin cord || reconciliation initiative || roman bath,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-010,EN,backroom boy,backroom,boy,I,1.48,human_type_score,S1,naturalistic,there are lots of technical and scientific staff whom you never see who are deeply involved in your disease : they often get forgotten as ' backroom boys and girls ',backroom boys,"[26, 28]",assistants,boys || backroom,campaigning children || facility catamite || facility cubs || installation catamite || installation cubs,backstage appearance || bacterial type || backup radio || back sweep || bad proposal,naturalistics_examplesent1.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-010,EN,backroom boy,backroom,boy,I,1.48,human_type_score,S2,naturalistic,"cecil milner was a respected backroom boy in london music circles , arranging for many top orchestras such as mantovani , for whom he supplied around 220 scores .",backroom boy,"[5, 7]",assistant,boy || backroom,campaigning child || facility catamite || facility cub || installation catamite || installation cub,backstage appearance || bacterial type || backup radio || back sweep || bad proposal,naturalistics_examplesent2.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-010,EN,backroom boy,backroom,boy,I,1.48,human_type_score,S3,naturalistic,translators are often thought of as backroom boys and girls who keep out of the limelight .,backroom boys,"[6, 8]",assistants,boys || backroom,campaigning children || facility catamite || facility cubs || installation catamite || installation cubs,backstage appearance || bacterial type || backup radio || back sweep || bad proposal,naturalistics_examplesent3.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-010,EN,backroom boy,backroom,boy,I,1.48,human_type_score,N1,neutral,This is a backroom boy,backroom boy,"[3, 5]",assistant,boy || backroom,campaigning child || facility catamite || facility cub || installation catamite || installation cub,backstage appearance || bacterial type || backup radio || back sweep || bad proposal,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-010,EN,backroom boy,backroom,boy,I,1.48,human_type_score,N2,neutral,These are backroom boys,backroom boys,"[2, 4]",helpers,boys,campaigning children,backstage appearance || bacterial type || backup radio || back sweep || bad proposal,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-011,EN,bad apple,bad,apple,I,1.13,human_type_score,S1,naturalistic,"the problem for them , of course , is how to explain how these few bad apples managed to stay in place for so many years .",bad apples,"[15, 17]",troublemakers,apples || bad,awful pears || big crabapples || tough crabapples || spoiled crabapples || spoilt crabapples,stepping stone || week topic || gender policy || curriculum resource || hospital location,naturalistics_examplesent1.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-011,EN,bad apple,bad,apple,I,1.13,human_type_score,S2,naturalistic,however it ' s the same old story : a few bad apples and we all get it in the neck !,bad apples,"[11, 13]",troublemakers,apples || bad,awful pears || big crabapples || tough crabapples || spoiled crabapples || spoilt crabapples,stepping stone || week topic || gender policy || curriculum resource || hospital location,naturalistics_examplesent2.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-011,EN,bad apple,bad,apple,I,1.13,human_type_score,S3,naturalistic,"however , it will not work unless every single person does it , because one bad apple ruins the whole barrel .",bad apple,"[15, 17]",troublemaker,apple || bad,awful pear || big crabapple || tough crabapple || spoiled crabapple || spoilt crabapple,stepping stone || week topic || gender policy || curriculum resource || hospital location,naturalistics_examplesent3.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-011,EN,bad apple,bad,apple,I,1.13,human_type_score,N1,neutral,This is a bad apple,bad apple,"[3, 5]",troublemaker,apple || bad,awful pear || big crabapple || tough crabapple || spoiled crabapple || spoilt crabapple,stepping stone || week topic || gender policy || curriculum resource || hospital location,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-011,EN,bad apple,bad,apple,I,1.13,human_type_score,N2,neutral,These are bad apples,bad apples,"[2, 4]",bad influences,apples,awful pears,stepping stone || week topic || gender policy || curriculum resource || hospital location,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-012,EN,bad hat,bad,hat,I,0.62,human_type_score,S1,naturalistic,one month later still another bad hat came along to further harass him,bad hat,"[5, 7]",trouble maker,hat || bad,terrible fedora || big headdress || big headgear || tough headdress || tough headgear,safety zone || younger detective || mutual relationship || anthropogenic activity || famous relation,naturalistics_examplesent1.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-012,EN,bad hat,bad,hat,I,0.62,human_type_score,S2,naturalistic,"the jury heard the evidence presented , that he was general bad hat .",bad hat,"[11, 13]",trouble maker,hat || bad,terrible fedora || big headdress || big headgear || tough headdress || tough headgear,safety zone || younger detective || mutual relationship || anthropogenic activity || famous relation,naturalistics_examplesent2.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-012,EN,bad hat,bad,hat,I,0.62,human_type_score,S3,naturalistic,"however , whitehall thinks that i am a thoroughly bad hat and will not talk to me .",bad hat,"[9, 11]",trouble maker,hat || bad,terrible fedora || big headdress || big headgear || tough headdress || tough headgear,safety zone || younger detective || mutual relationship || anthropogenic activity || famous relation,naturalistics_examplesent3.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-012,EN,bad hat,bad,hat,I,0.62,human_type_score,N1,neutral,This is a bad hat,bad hat,"[3, 5]",trouble maker,hat || bad,terrible fedora || big headdress || big headgear || tough headdress || tough headgear,safety zone || younger detective || mutual relationship || anthropogenic activity || famous relation,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-012,EN,bad hat,bad,hat,I,0.62,human_type_score,N2,neutral,These are bad hats,bad hats,"[2, 4]",criminals,hats,terrible fedoras,safety zone || younger detective || mutual relationship || anthropogenic activity || famous relation,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-013,EN,balance sheet,balance,sheet,C,3.86,human_type_score,S1,naturalistic,in the enron corp . ' s partnerships which were not even entered on enron ' s balance sheet because derivatives are still unregulated and do n ' t have to be reported . and once,balance sheet,"[17, 19]",financial record,sheet || balance,residue blanket || proportion plane || proportion tabloid || proportionality plane || proportionality tabloid,tribal agencies || canonical appearances || opposing powers || mackerel stock || humid field,naturalistics_examplesent1.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-013,EN,balance sheet,balance,sheet,C,3.86,human_type_score,S2,naturalistic,"to translate into something that can be finessed down to a statutory line on the balance sheet . having said that though , using reliable valuation models and clearly constructed benchmarks by",balance sheet,"[15, 17]",financial record,sheet || balance,residue blanket || proportion plane || proportion tabloid || proportionality plane || proportionality tabloid,tribal agencies || canonical appearances || opposing powers || mackerel stock || humid field,naturalistics_examplesent2.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-013,EN,balance sheet,balance,sheet,C,3.86,human_type_score,S3,naturalistic,purpose for which the assets are held . explain how the financial position at the balance sheet date will affect the future commitments of the charity . give reasons for any change,balance sheet,"[15, 17]",financial record,sheet || balance,residue blanket || proportion plane || proportion tabloid || proportionality plane || proportionality tabloid,tribal agencies || canonical appearances || opposing powers || mackerel stock || humid field,naturalistics_examplesent3.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-013,EN,balance sheet,balance,sheet,C,3.86,human_type_score,N1,neutral,This is a balance sheet,balance sheet,"[3, 5]",financial record,sheet || balance,residue blanket || proportion plane || proportion tabloid || proportionality plane || proportionality tabloid,tribal agencies || canonical appearances || opposing powers || mackerel stock || humid field,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-013,EN,balance sheet,balance,sheet,C,3.86,human_type_score,N2,neutral,These are balance sheets,balance sheets,"[2, 4]",ledgers,sheets,residue blankets,tribal agencies || canonical appearances || opposing powers || mackerel stock || humid field,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-014,EN,banana republic,banana,republic,I,0.86,human_type_score,S1,naturalistic,"the result is our roads are more congested than ever before ; so congested , indeed , that we seem less like the world ' s fourth - largest economy and more like the most inept banana republic .",banana republic,"[36, 38]",chaotic government,republic || banana,fruit commonwealth || abaca democracy || abaca commonwealth || plantain democracy || plantain commonwealth,wealthiest inhabitant || afghan journalist || gothic statue || tragic victim || systematic correspondence,naturalistics_examplesent1.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-014,EN,banana republic,banana,republic,I,0.86,human_type_score,S2,naturalistic,"as britain grinds to a halt amidst rail chaos , fuel shortages and floods , the head of the cbi brands britain as being "" like a banana republic "" !",banana republic,"[27, 29]",chaotic government,republic || banana,fruit commonwealth || abaca democracy || abaca commonwealth || plantain democracy || plantain commonwealth,wealthiest inhabitant || afghan journalist || gothic statue || tragic victim || systematic correspondence,naturalistics_examplesent2.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-014,EN,banana republic,banana,republic,I,0.86,human_type_score,S3,naturalistic,"my point is in the past historians referred to the central american countries as banana republics , implying these are countries , nations with governments without any dignity .",banana republics,"[14, 16]",chaotic governments,republics || banana,fruit commonwealths || abaca democracies || abaca commonwealths || plantain democracies || plantain commonwealths,wealthiest inhabitant || afghan journalist || gothic statue || tragic victim || systematic correspondence,naturalistics_examplesent3.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-014,EN,banana republic,banana,republic,I,0.86,human_type_score,N1,neutral,This is a banana republic,banana republic,"[3, 5]",chaotic government,republic || banana,fruit commonwealth || abaca democracy || abaca commonwealth || plantain democracy || plantain commonwealth,wealthiest inhabitant || afghan journalist || gothic statue || tragic victim || systematic correspondence,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-014,EN,banana republic,banana,republic,I,0.86,human_type_score,N2,neutral,These are banana republics,banana republics,"[2, 4]",unstable countries,republics,fruit commonwealths,wealthiest inhabitant || afghan journalist || gothic statue || tragic victim || systematic correspondence,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-015,EN,bank account,bank,account,C,4.73,human_type_score,S1,naturalistic,"you can pay with bank transfer directly into our bank accounts . we hold them in the cattle bank in nebraska , usa , and with branches of the hsbc",bank accounts,"[9, 11]",bank funds,accounts || bank,fund records || slope histories || slope chronicles || incline histories || incline chronicles,technical position || spring event || spiritual event || highest casualty || conditional character,naturalistics_examplesent1.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
