model,lang,context,level,nc,comp_class,comp_score,sent_id,measurement,value
mock,EN,neutral,nc,research lab,C,4.0,,sim_P_Rand,-0.03844462345234702
mock,EN,neutral,nc,research lab,C,4.0,,aff_Syn|WordsSyn,0.5086022849753492
mock,EN,neutral,nc,research lab,C,4.0,,aff_Syn|Rand,0.6055158576135106
mock,EN,neutral,nc,research lab,C,4.0,,simR_Syn,0.5830988421900158
mock,EN,neutral,nc,research lab,C,4.0,,simR_WordsSyn,0.09332570119720848
mock,EN,naturalistic,sentence,grey matter,I,0.95,S1,sim_P_Syn,0.8922419158477212
mock,EN,naturalistic,sentence,grey matter,I,0.95,S1,sim_P_Comp,0.967065043037084
mock,EN,naturalistic,sentence,grey matter,I,0.95,S1,sim_P_WordsSyn,0.8841847102040911
mock,EN,naturalistic,sentence,grey matter,I,0.95,S1,sim_P_Rand,0.8620170041970231
mock,EN,naturalistic,sentence,grey matter,I,0.95,S1,aff_Syn|WordsSyn,0.008057205643630105
mock,EN,naturalistic,sentence,grey matter,I,0.95,S1,aff_Syn|Rand,0.030224911650698072
mock,EN,naturalistic,sentence,grey matter,I,0.95,S1,simR_Syn,0.21904808976502876
mock,EN,naturalistic,sentence,grey matter,I,0.95,S1,simR_WordsSyn,0.16065534653792254
mock,EN,neutral,sentence,grey matter,I,0.95,,sim_P_Syn,0.728654747619147
mock,EN,neutral,sentence,grey matter,I,0.95,,sim_P_Comp,0.9142023806288311
mock,EN,neutral,sentence,grey matter,I,0.95,,sim_P_WordsSyn,0.742982580009213
mock,EN,neutral,sentence,grey matter,I,0.95,,sim_P_Rand,0.6686306541175958
mock,EN,neutral,sentence,grey matter,I,0.95,,aff_Syn|WordsSyn,-0.014327832390066075
mock,EN,neutral,sentence,grey matter,I,0.95,,aff_Syn|Rand,0.060024093501551135
mock,EN,neutral,sentence,grey matter,I,0.95,,simR_Syn,0.18113954790148992
mock,EN,neutral,sentence,grey matter,I,0.95,,simR_WordsSyn,0.2243778032443686
mock,EN,naturalistic,sentence,eager beaver,I,0.8,S1,sim_P_Syn,0.7315086740161595
mock,EN,naturalistic,sentence,eager beaver,I,0.8,S1,sim_P_Comp,0.9300069092343048
mock,EN,naturalistic,sentence,eager beaver,I,0.8,S1,sim_P_WordsSyn,0.7046924389123475
mock,EN,naturalistic,sentence,eager beaver,I,0.8,S1,sim_P_Rand,0.7506220959783524
mock,EN,naturalistic,sentence,eager beaver,I,0.8,S1,aff_Syn|WordsSyn,0.026816235103812036
mock,EN,naturalistic,sentence,eager beaver,I,0.8,S1,aff_Syn|Rand,-0.0191134219621929
mock,EN,naturalistic,sentence,eager beaver,I,0.8,S1,simR_Syn,-0.0766444085620903
mock,EN,naturalistic,sentence,eager beaver,I,0.8,S1,simR_WordsSyn,-0.1841769311767812
mock,EN,neutral,sentence,eager beaver,I,0.8,,sim_P_Syn,0.6245546083315161
mock,EN,neutral,sentence,eager beaver,I,0.8,,sim_P_Comp,0.8777806230888235
mock,EN,neutral,sentence,eager beaver,I,0.8,,sim_P_WordsSyn,0.5369783946105635
mock,EN,neutral,sentence,eager beaver,I,0.8,,sim_P_Rand,0.6374412711798548
mock,EN,neutral,sentence,eager beaver,I,0.8,,aff_Syn|WordsSyn,0.08757621372095259
mock,EN,neutral,sentence,eager beaver,I,0.8,,aff_Syn|Rand,-0.012886662848338726
mock,EN,neutral,sentence,eager beaver,I,0.8,,simR_Syn,-0.035543656307145274
mock,EN,neutral,sentence,eager beaver,I,0.8,,simR_WordsSyn,-0.27709407768562655
mock,EN,naturalistic,sentence,dutch courage,PC,2.34,S1,sim_P_Syn,0.9420049211255207
mock,EN,naturalistic,sentence,dutch courage,PC,2.34,S1,sim_P_Comp,0.9743257607996139
mock,EN,naturalistic,sentence,dutch courage,PC,2.34,S1,sim_P_WordsSyn,0.8826245713634427
mock,EN,naturalistic,sentence,dutch courage,PC,2.34,S1,sim_P_Rand,0.9095825683923953
mock,EN,naturalistic,sentence,dutch courage,PC,2.34,S1,aff_Syn|WordsSyn,0.059380349762077955
mock,EN,naturalistic,sentence,dutch courage,PC,2.34,S1,aff_Syn|Rand,0.03242235273312544
mock,EN,naturalistic,sentence,dutch courage,PC,2.34,S1,simR_Syn,0.3585851992990972
mock,EN,naturalistic,sentence,dutch courage,PC,2.34,S1,simR_WordsSyn,-0.2981504401269142
mock,EN,neutral,sentence,dutch courage,PC,2.34,,sim_P_Syn,0.7125213206110144
mock,EN,neutral,sentence,dutch courage,PC,2.34,,sim_P_Comp,0.8565676084866299
mock,EN,neutral,sentence,dutch courage,PC,2.34,,sim_P_WordsSyn,0.44564356850662973
mock,EN,neutral,sentence,dutch courage,PC,2.34,,sim_P_Rand,0.5985403275354453
mock,EN,neutral,sentence,dutch courage,PC,2.34,,aff_Syn|WordsSyn,0.26687775210438464
mock,EN,neutral,sentence,dutch courage,PC,2.34,,aff_Syn|Rand,0.11398099307556908
mock,EN,neutral,sentence,dutch courage,PC,2.34,,simR_Syn,0.28391642023678626
mock,EN,neutral,sentence,dutch courage,PC,2.34,,simR_WordsSyn,-0.38085209926612235
mock,EN,naturalistic,sentence,eternal rest,PC,2.4,S1,sim_P_Syn,0.9017921439711437
mock,EN,naturalistic,sentence,eternal rest,PC,2.4,S1,sim_P_Comp,0.9708547883986434
mock,EN,naturalistic,sentence,eternal rest,PC,2.4,S1,sim_P_WordsSyn,0.8463099430458156
mock,EN,naturalistic,sentence,eternal rest,PC,2.4,S1,sim_P_Rand,0.8710558643941531
mock,EN,naturalistic,sentence,eternal rest,PC,2.4,S1,aff_Syn|WordsSyn,0.05548220092532807
mock,EN,naturalistic,sentence,eternal rest,PC,2.4,S1,aff_Syn|Rand,0.030736279576990655
mock,EN,naturalistic,sentence,eternal rest,PC,2.4,S1,simR_Syn,0.23836896057797083
mock,EN,naturalistic,sentence,eternal rest,PC,2.4,S1,simR_WordsSyn,-0.1919119565389162
mock,EN,neutral,sentence,eternal rest,PC,2.4,,sim_P_Syn,0.7384793747565556
mock,EN,neutral,sentence,eternal rest,PC,2.4,,sim_P_Comp,0.9246760174369384
mock,EN,neutral,sentence,eternal rest,PC,2.4,,sim_P_WordsSyn,0.5768165441683794
mock,EN,neutral,sentence,eternal rest,PC,2.4,,sim_P_Rand,0.6887183231178533
mock,EN,neutral,sentence,eternal rest,PC,2.4,,aff_Syn|WordsSyn,0.1616628305881762
mock,EN,neutral,sentence,eternal rest,PC,2.4,,aff_Syn|Rand,0.04976105163870226
mock,EN,neutral,sentence,eternal rest,PC,2.4,,simR_Syn,0.15985859539539207
mock,EN,neutral,sentence,eternal rest,PC,2.4,,simR_WordsSyn,-0.35948720165704035
mock,EN,naturalistic,sentence,economic aid,C,4.13,S1,sim_P_Syn,0.7496195211588988
mock,EN,naturalistic,sentence,economic aid,C,4.13,S1,sim_P_Comp,0.945404019058671
mock,EN,naturalistic,sentence,economic aid,C,4.13,S1,sim_P_WordsSyn,0.768915300247979
mock,EN,naturalistic,sentence,economic aid,C,4.13,S1,sim_P_Rand,0.7989697580559668
mock,EN,naturalistic,sentence,economic aid,C,4.13,S1,aff_Syn|WordsSyn,-0.0192957790890802
mock,EN,naturalistic,sentence,economic aid,C,4.13,S1,aff_Syn|Rand,-0.04935023689706797
mock,EN,naturalistic,sentence,economic aid,C,4.13,S1,simR_Syn,-0.24548663136368842
mock,EN,naturalistic,sentence,economic aid,C,4.13,S1,simR_WordsSyn,-0.149502171998355
mock,EN,neutral,sentence,economic aid,C,4.13,,sim_P_Syn,0.6541251295462334
mock,EN,neutral,sentence,economic aid,C,4.13,,sim_P_Comp,0.9153641061622386
mock,EN,neutral,sentence,economic aid,C,4.13,,sim_P_WordsSyn,0.6221615320276879
mock,EN,neutral,sentence,economic aid,C,4.13,,sim_P_Rand,0.6749419612700273
mock,EN,neutral,sentence,economic aid,C,4.13,,aff_Syn|WordsSyn,0.031963597518545495
mock,EN,neutral,sentence,economic aid,C,4.13,,aff_Syn|Rand,-0.020816831723793894
mock,EN,neutral,sentence,economic aid,C,4.13,,simR_Syn,-0.06404035354771379
mock,EN,neutral,sentence,economic aid,C,4.13,,simR_WordsSyn,-0.16237232418111136
mock,EN,naturalistic,sentence,research lab,C,4.0,S1,sim_P_Syn,0.9280019632794416
mock,EN,naturalistic,sentence,research lab,C,4.0,S1,sim_P_Comp,0.9494814977739412
mock,EN,naturalistic,sentence,research lab,C,4.0,S1,sim_P_WordsSyn,0.8535392856880158
mock,EN,naturalistic,sentence,research lab,C,4.0,S1,sim_P_Rand,0.8379072960323126
mock,EN,naturalistic,sentence,research lab,C,4.0,S1,aff_Syn|WordsSyn,0.07446267759142577
mock,EN,naturalistic,sentence,research lab,C,4.0,S1,aff_Syn|Rand,0.090094667247129
mock,EN,naturalistic,sentence,research lab,C,4.0,S1,simR_Syn,0.5558218540489587
mock,EN,naturalistic,sentence,research lab,C,4.0,S1,simR_WordsSyn,0.09643857664820873
mock,EN,neutral,sentence,research lab,C,4.0,,sim_P_Syn,0.8421323970563713
mock,EN,neutral,sentence,research lab,C,4.0,,sim_P_Comp,0.884094195799154
mock,EN,neutral,sentence,research lab,C,4.0,,sim_P_WordsSyn,0.6761314982771632
mock,EN,neutral,sentence,research lab,C,4.0,,sim_P_Rand,0.6532518815842336
mock,EN,neutral,sentence,research lab,C,4.0,,aff_Syn|WordsSyn,0.1660008987792081
mock,EN,neutral,sentence,research lab,C,4.0,,aff_Syn|Rand,0.1888805154721377
mock,EN,neutral,sentence,research lab,C,4.0,,simR_Syn,0.5447196551061355
mock,EN,neutral,sentence,research lab,C,4.0,,simR_WordsSyn,0.0659833910489917
